Country,Proposed_VitD,CRC0to14,CRC15to29,CRC30to44,CRC45to59,CRC60to74,CRC_over75,COUNTRY_CODE,ADJ_UVB,UVB_unitless_Aura,UVB_unitless_Aura2,URBAN_PERCENT,PIGMENTATION,GDP,LIFE_EXPECTANCY,SMOKING_PREV,ANIMAL_CONSUMPTION,OZONE
Afghanistan, ,0,0.8,4.2,7.6,15.8,21.8,AFG,7.18578,111.2256809,242.8068182,23.5,1.5,1637.38,61.23,11.9,13,290
Albania, ,0,0.3,4.4,21.1,38.6,50.2,ALB,5.08767,21.3076923,178.6666667,53.4,1,9628,76.65,19.8,59,290
Algeria,71.4,0,0.9,7,28,68,95.8,DZA,11.90406,133.2746637,238.8634361,73,1.5,12656.37,74.68,10.9,18.35,260
Angola, ,0,0.3,2.3,10,27.2,39.3,AGO,17.62383,90.2177986,238.8040089,59.2,3,6230.3,58.19,8.8,28.15,275
Argentina,44.7,0,1.1,7.5,46.5,137.1,214.9,ARG,6.28936,32.7319588,163.5483871,92.5,2,18524.86,75.6,20.5,100.69,300
Armenia, ,0,0,1.1,26,120.4,240.4,ARM,8.11503,22.3333333,188.9375,64.1,1,6565.68,73.33,26.4,40.76,300
Australia, ,0.2,2.5,14.4,60.8,194.9,364.2,AUS,8.5946,29.3921569,202.1052277,89.2,0,39324.37,81.7,16.4,111.95,300
Austria, ,0.1,0.6,4.3,35.3,119.9,209.1,AUT,5.25448,36.3181818,154.1860465,67.7,0,42006.05,80.58,29.2,92.81,290
Azerbaijan, ,0,0.2,3.4,22.5,48.6,79.3,AZE,8.11503,30.3733333,193.5466667,53.6,1.5,15884.04,70.99,21.9,29.82,300
Bahamas, ,0,1.1,4.5,39.9,129.7,205.6,BHS,9.23748,23,223.8571429,84.3,2.5,29099.06,74.76,10,108.3,250
Bahrain,27.9,0,0.2,2.9,18.6,75.7,107.1,BHR,12.98325, , ,88.7,2,39740.46,76.06,19,,250
Bangladesh, ,0,0.7,2.6,7.8,15.8,24.8,BGD,12.55048,122.2340426,239.3773585,28.4,2,2466.9,70.2,22.5,4.03,200
Barbados, ,0,0,1.8,75.4,228.7,391,BRB,10.32185, , ,44.4,2,15942.75,74.97,6.1,70.18,240
Belarus,65,0,0.6,6.2,61.5,190.4,250.7,BLR,3.39654,29.8983051,143.1239669,75,0,15942.75,70.4,25.5,93.61,335
Belgium,49.3,0.4,1.5,7.4,59.7,204.7,348.6,BEL,3.0303,43.4705882,145.9444444,97.5,0,40051.96,80.18,26.1,68.89,340
Belize, ,0,0,0,20.4,41.5,91.4,BLZ,7.82842,107.25,251.25,44.7,2,7688.62,69.68,8.7,47.71,225
Benin, ,0,0.4,3.6,17.9,35,15.1,BEN,12.45062,231.8055556,253.35,44.9,3,1781.56,59.32,7.7,14.08,240
Bhutan, ,0,1.3,3.4,7.6,19.6,18.9,BTN,12.8709,150.6666667,238.8125,35.6,2,6674.86,79.29,11,,225
"Bolivia, Plurinational State of", ,0,0.2,1.9,12.7,34,41.9,BOL,9.97535,79.296875,239.2545455,66.8,2,5228.12,66.41,24.5,69.11,275
Bosnia and Herzegovina, ,0,0.6,7.9,50.4,157.4,189.5,BIH,4.84953,37.9285714,165.5,48.3,1,9347.58,75.91,31.7,29.55,300
Botswana, ,0,0.6,2.7,5.7,8.9,16.7,BWA,15.82686,22.9902439,227.4597156,61.7,3,12964.35,59.87,13.5,30.4,280
Brazil,59.1,0,1,7.8,36.9,97.1,169.1,BRA,10.30337,86.3757596,234.9316894,84.6,2,14320.37,73.84,14.2,89.46,280
Brunei, ,0,0,14.2,67.3,153.8,320.1,BRN,7.6748,224.5,240,76,2,78907.87,76.72,11.5,76.06,200
Bulgaria, ,0,0.8,6.3,55.9,173.3,217.6,BGR,4.93038,38.9803922,158.5294118,73.1,1,14934.11,73.51,34.9,52.97,300
Burkina Faso, ,0.1,0.8,3.7,11.2,28,44.1,BFA,13.65886,247.0645161,255,26.5,3,1394.25,57.1,10.5,16.36,240
Burundi, ,0,0.7,2,11,42.7,87.6,BDI,15.15248,119.875,247.6666667,10.9,3,718.71,54.86,13.3,,265
Cambodia, ,0,0.4,2.1,19.3,60.7,96.7,KHM,12.19855,187.984127,251.2089552,20,2,2470.7,66.56,19.3,14.84,200
Cameroon, ,0,0.8,2.3,9.5,36.4,65.8,CMR,12.45062,192.7974684,248.863354,52.1,3,2817.57,55.42,7,14.28,240
Canada,57.5,0,1.5,11.1,58.2,168.5,288,CAN,2.40765,29.828705,132.3832801,80.7,0,40012.39,81.25,14.9,92.03,335
Central African Republic, ,0,0.4,2.5,10.4,25.8,49.8,CAF,12.42605,218.7311321,253.0801887,39.1,3,962.29,47.56,8.4,90.86,240
Chad, ,0,0.8,3.4,11.8,26.2,38,TCD,15.81391,249.2247191,254.9736842,21.8,3,1875.56,50.23,7,12.55,240
Chile, ,0,0.6,5,32.3,114.9,217.4,CHL,6.56992,53.3806647,155.4649123,89.2,1.5,18161.8,78.45,28.4,77.26,300
China, ,0,0.9,6,40.3,127.7,217.6,CHN,8.88426,74.6914601,213.3137352,50.6,1.5,9303.73,7524,24.2,57.69,250
Colombia, ,0,0.9,5.2,25.9,81.4,154.7,COL,7.68544,138.0727273,238.7270408,75.3,1.5,10732.75,73.36,11.2,45.8,235
Comoros, ,0,0,0,6.2,29.8,35,COM,16.69626,126, ,28,3,2376.54,61.86,10.6,,260
"Congo, Democratic Republic of", ,0,0.2,2.5,11.7,45.8,100.8,COD,15.1704,127.9699625,246.5602484,34.3,3,646.3,56.91,7.9,,270
"Congo, Republic of", ,0,0.1,1.9,7.9,24.3,50.3,COG,15.40896,128.9916667,241.2931034,63.7,3,5214.5,60.47,8.7,25.73,245
Costa Rica, ,0,1.1,5.2,29.1,85.4,161.5,CRI,11.38116,112.3125,241.0952381,64.7,2,12644.7,78.76,12.2,49.99,225
Croatia, ,0,0.6,6.8,61.2,202.7,314.1,HRV,5.44768,31.0416667,164.5769231,57.8,0.5,19780.64,76.48,28,60.96,300
Cuba, ,0.1,0.7,2.9,25.4,100.4,204.7,CUB,9.44034,53.0277778,218.8809524,75.2,2,,79,16.7,50.47,225
Cyprus, ,0,0.4,4.8,39.5,137.8,251.6,CYP,6.70565,6,202.3333333,70.5,1.5,33230.8,79.43,30.9,78.73,280
Czech Republic,62.5,0.1,0.7,6,53.1,203.8,299.6,CZE,3.79092,31.65,151.35,73.4,1,27667.43,77.42,23.8,83.7,320
Denmark,56.1,0,1.1,6.7,64.5,258.7,411.9,DNK,3.23106,16.4230769,134.04,86.9,0,42999.63,79.1,19.9,76.05,340
Djibouti, ,0,0.3,3.9,14.5,25.5,19.8,DJI,14.65293,197.625,242.7142857,77.1,3,,60.38,21.2,16.86,240
Dominican Republic, ,0,0.4,5.5,27.4,65.8,108,DOM,10.01616,66.9444444,221.1764706,69.7,2.5,10068.07,72.7,10.9,57.67,
Ecuador, ,0,0.8,3.8,16.6,56.2,121.7,ECU,7.70448,118.0574713,239.0869565,67.5,2,9114.34,75.05,6.2,54.55,225
Egypt,66,0,1.1,4.4,14.2,25.4,40.7,EGY,11.58381,166.9636364,242.836272,43.5,2,9814.3,70.36,17.6,29.12,230
El Salvador, ,0,0.8,5.6,14.7,38.1,92.7,SLV,14.01645,207.875,233.4444444,64.8,1.5,6152.43,71.9,9.1,29.41,250
Equatorial Guinea, ,0,1,2.8,10.5,28.4,32.1,GNQ,12.51978,113.5454545,242.25,39.5,3,33294.65,55.91,9.3,,240
Eritrea, ,0,0.7,4.6,16,25.5,29.2,ERI,14.41857,191.0227273,250.575,21.3,3,1921.43,62.18,5.8,,235
Estonia,42.7,0,0,3.2,45.5,181.3,311.4,EST,3.96816,34.3448276,126.030303,69.5,1,21581.7,75.43,26.8,72.9,240
Ethiopia, ,0,0.8,6,17.8,31.7,30.4,ETH,14.2674,237.6506329,254.6269036,17,2.5,1052.61,61.63,3.7,8.48,330
Fiji, ,0,0.4,4.2,16.7,46.8,76.3,FJI,10.82256,64.1111111,230.75,52.2,2.5,7202.76,69.27,14.3,38.9,240
Finland,45.5,0.2,1,6,41,143.1,247.2,FIN,3.37736,28.6882129,109.0485075,83.7,0,38737.41,79.87,16.6,74.82,280
France,60,0.1,0.9,8.9,56.3,164.9,298.2,FRA,4.95053,34.0377358,157.4927536,85.8,0,35900.05,81.66,27,90.47,355
Gabon, ,0,1.1,4.9,11.8,23,20,GAB,11.3778,115.9302326,236.7472527,86.2,3,15190.41,62.89,10.8,63.79,320
Georgia, ,0,0.1,1.9,16.1,50.7,77.6,GEO,5.00976,44.6896552,178.53125,52.8,1,6838.62,72.65,22.6,26.86,275
Germany,50.1,0.1,1.1,7.9,46.4,140.2,267.8,DEU,4.24242,34.1957672,147.3520408,73.9,0,39187.4,80,22.7,87.54,240
Ghana, ,0,0.3,1.5,6.8,44.4,97.9,GHA,11.44416,213.8674699,251.1149425,51.9,3,2964.43,60.92,3.8,15.01,290
Greece,50,0,0.8,6.3,47.2,146.9,256.6,GRC,5.23908,21.7758621,186.7090909,61.4,1,28148.42,80.39,37.3,80.31,320
